model,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std
Logistic_Regression,0.8487,0.0064,0.6803,0.0064,0.9638,0.0054
Random_Forest,0.9349,0.0109,0.9014,0.01,0.9953,0.0008
